Code,Description,Abbreviation
A31.0,Pulmonary mycobacterial infection Infection due to Mycobacterium: • avium • intracellulare [Battey bacillus] • kansasii,PMI
A31.1,Cutaneous mycobacterial infection Buruli ulcer Infection due to Mycobacterium: • marinum • ulcerans,CMI
A31.8,Other mycobacterial infections,MI
A31.9,"Mycobacterial infection, unspecified Atypical Mycobacterium infection NOS Mycobacteriosis NOS",MIA NOS
A32,Listeriosis,LIST
A32.0,Cutaneous listeriosis,CL
A32.1†,Listerial meningitis and meningoencephalitis Listerial: • meningitis (G01*) • meningoencephalitis (G05.0*),LMM
A32.7,Listerial sepsis,LS
A32.8,Other forms of listeriosis Listerial: • cerebral arteritis† (I68.1*) • endocarditis† (I39.8*) Oculoglandular listeriosis,FLL
A32.9,"Listeriosis, unspecified",LIST NOS
A33,Tetanus neonatorum,TN
A34,Obstetrical tetanus,OT
A35,Other tetanus,TETA
A36,Diphtheria,DIPH
A36.0,Pharyngeal diphtheria Diphtheritic membranous angina Tonsillar diphtheria,PDD
A36.1,Nasopharyngeal diphtheria,ND
A36.2,Laryngeal diphtheria Diphtheritic laryngotracheitis,LDD
A36.3,Cutaneous diphtheria,CD
A36.8,Other diphtheria Diphtheritic: • conjunctivitis† (H13.1*) • myocarditis† (I41.0*) • polyneuritis† (G63.0*),DD•
A36.9,"Diphtheria, unspecified",DIPH NOS
A37,Whooping cough,WC
A37.0,Whooping cough due to Bordetella pertussis,WCB
A37.1,Whooping cough due to Bordetella parapertussis,WCB
A37.8,Whooping cough due to other Bordetella species,WCB
A37.9,"Whooping cough, unspecified",WC NOS
A38,Scarlet fever,SF
A39,Meningococcal infection,MI
A39.0†,Meningococcal meningitis (G01*),MM
A39.1†,Waterhouse–Friderichsen syndrome (E35.1*) Meningococcal haemorrhagic adrenalitis Meningococcic adrenal syndrome,WSM
A39.2,Acute meningococcaemia,AM
A39.3,Chronic meningococcaemia,CM
A39.4,"Meningococcaemia, unspecified Meningococcal bacteraemia NOS",MMB NOS
A39.5†,Meningococcal heart disease Meningococcal: • carditis NOS (I52.0*) • endocarditis (I39.8*) • myocarditis (I41.0*) • pericarditis (I32.0*),MHD NOS
A39.8,Other meningococcal infections Meningococcal: • arthritis† (M01.0*) • conjunctivitis† (H13.1*) • encephalitis† (G05.0*) • retrobulbar neuritis† (H48.1*) Postmeningococcal arthritis† (M03.0*),MIM
A39.9,"Meningococcal infection, unspecified Meningococcal disease NOS",MIM NOS
A40,Streptococcal sepsis,SS
A40.0,"Sepsis due to Streptococcus, group A",SSG
A40.1,"Sepsis due to Streptococcus, group B",SSG
A40.2,"Sepsis due to Streptococcus, group D",SSG
A40.3,Sepsis due to Streptococcus pneumoniae Pneumococcal sepsis,SSP
A40.8,Other streptococcal sepsis,SS
A40.9,"Streptococcal sepsis, unspecified",SS NOS
A41,Other sepsis,SEPS
A41.0,Sepsis due to Staphylococcus aureus,SSA
A41.1,Sepsis due to other specified Staphylococcus Sepsis due to coagulase-negative Staphylococcus,SSS
A41.2,Sepsis due to unspecified Staphylococcus,SS NOS
A41.3,Sepsis due to Haemophilus influenzae,SHI
A41.4,Sepsis due to anaerobes,SA
A41.5,Sepsis due to other Gram-negative organisms Gram-negative sepsis NOS,SGO NOS
A41.8,Other specified sepsis,SEPS
A41.9,"Sepsis, unspecified Septicaemia",SS NOS
A42,Actinomycosis,ACTI
A42.0,Pulmonary actinomycosis,PA
A42.1,Abdominal actinomycosis,AA
A42.2,Cervicofacial actinomycosis,CA
A42.7,Actinomycotic sepsis,AS
A42.8,Other forms of actinomycosis,FA
A42.9,"Actinomycosis, unspecified",ACTI NOS
A43,Nocardiosis,NOCA
A43.0,Pulmonary nocardiosis,PN
A43.1,Cutaneous nocardiosis,CN
A43.8,Other forms of nocardiosis,FN
