Code,Description,Abbreviation
I45.8,Other specified conduction disorders Atrioventricular [AV] dissociation Interference dissociation,CDA
I45.9,"Conduction disorder, unspecified Heart block NOS Stokes–Adams syndrome",CDH NOS
I46,Cardiac arrest,CA
I46.0,Cardiac arrest with successful resuscitation,CAS
I46.1,"Sudden cardiac death, so described",SCD
I46.9,"Cardiac arrest, unspecified",CA NOS
I47,Paroxysmal tachycardia,PT
I47.0,Re-entry ventricular arrhythmia,RVA
I47.1,Supraventricular tachycardia Tachycardia (paroxysmal): • atrial • atrioventricular [AV]: – NOS – re-entrant (nodal) [AVNRT][AVRT] • junctional • nodal,STT NOS
I47.2,Ventricular tachycardia,VT
I47.9,"Paroxysmal tachycardia, unspecified Bouveret(– Hoffmann) syndrome",PTB NOS
I47–I49,specified arrhythmias,ARRH
I48,Atrial fibrillation and flutter,AFF
I48.0,Paroxysmal atrial fibrillation,PAF
I48.1,Persistent atrial fibrillation,PAF
I48.2,Chronic atrial fibrillation,CAF
I48.3,Typical atrial flutter Type I atrial flutter,TAF
I48.4,Atypical atrial flutter Type II atrial flutter,AAF
I48.9,"Atrial fibrillation and atrial flutter, unspecified I49",AFA NOS
I49,Other cardiac arrhythmias,CA
I49.0,Ventricular fibrillation and flutter,VFF
I49.1,Atrial premature depolarization Atrial premature beats,APD
I49.2,Junctional premature depolarization,JPD
I49.3,Ventricular premature depolarization,VPD
I49.4,Other and unspecified premature depolarization Ectopic beats Extrasystoles Extrasystolic arrhythmias Premature: • beats NOS • contractions,PDE NOS
I49.5,Sick sinus syndrome Tachycardia–bradycardia syndrome,SSS
I49.8,Other specified cardiac arrhythmias Brugada syndrome Long QT syndrome Rhythm disorder: • coronary sinus • ectopic • nodal,CAB
I49.9,"Cardiac arrhythmia, unspecified Arrhythmia (cardiac) NOS",CAA NOS
I50,Heart failure,HF
I50.0,Congestive heart failure Congestive heart disease Right ventricular failure (secondary to left heart failure),CHF
I50.1,Left ventricular failure Cardiac asthma Left heart failure Oedema of lung with mention of heart disease NOS Pulmonary oedema or heart failure,HF
I50.9,"Heart failure, unspecified Cardiac, heart or myocardial failure NOS",HF
I51,Complications and ill-defined descriptions of heart disease,CID
I51.0,"Cardiac septal defect, acquired Acquired septal defect (old): • atrial • auricular • ventricular",CSD
I51.1,"Rupture of chordae tendineae, not elsewhere classified",RCT
I51.2,"Rupture of papillary muscle, not elsewhere classified",RPM
I51.3,"Intracardiac thrombosis, not elsewhere classified Thrombosis (old): • apical • atrial • auricular • ventricular",ITN
I51.4,"Myocarditis, unspecified Myocardial fibrosis Myocarditis: • NOS • chronic (interstitial)",MMF NOS
I51.5,Myocardial degeneration Degeneration of heart or myocardium: • fatty • senile Myocardial disease,MDD
I51.6,"Cardiovascular disease, unspecified Cardiovascular accident NOS",CDC NOS
I51.7,Cardiomegaly Cardiac: • dilatation • hypertrophy Ventricular dilatation,CC•
I51.8,Other ill-defined heart diseases Carditis (acute)(chronic) Pancarditis (acute)(chronic),IHD
I51.9,"Heart disease, unspecified",HD NOS
I52*,Other heart disorders in diseases classified elsewhere,HDI
I52.0*,Other heart disorders in bacterial diseases classified elsewhere Meningococcal carditis NEC (A39.5†),HDI
I52.1*,Other heart disorders in other infectious and parasitic diseases classified elsewhere Pulmonary heart disease in schistosomiasis (B65.-†),HDI
I52.8*,Other heart disorders in other diseases classified elsewhere Rheumatoid carditis (M05.3†) Cerebrovascular diseases (I60–I69),HDI
I60,Subarachnoid haemorrhage,SH
I60.0,Subarachnoid haemorrhage from carotid siphon and bifurcation,SHF
I60.1,Subarachnoid haemorrhage from middle cerebral artery,SHF
I60.2,Subarachnoid haemorrhage from anterior communicating artery,SHF
I60.3,Subarachnoid haemorrhage from posterior communicating artery,SHF
I60.4,Subarachnoid haemorrhage from basilar artery,SHF
I60.5,Subarachnoid haemorrhage from vertebral artery,SHF
I60.6,Subarachnoid haemorrhage from other intracranial arteries Multiple involvement of intracranial arteries,SHF
I60.7,"Subarachnoid haemorrhage from intracranial artery, unspecified Ruptured (congenital) berry aneurysm NOS Subarachnoid haemorrhage from: • cerebral artery NOS • communicating",SHF NOS
I60.8,Other subarachnoid haemorrhage Meningeal haemorrhage Rupture of cerebral arteriovenous malformation,SHM
I60.9,"Subarachnoid haemorrhage, unspecified",SH NOS
I60–I69,• brain • eye (H35.0),•B•
I61,Intracerebral haemorrhage,IH
I61.0,"Intracerebral haemorrhage in hemisphere, subcortical Deep intracerebral haemorrhage",IHI
I61.1,"Intracerebral haemorrhage in hemisphere, cortical Cerebral lobe haemorrhage Superficial intracerebral haemorrhage",IHI
I61.2,"Intracerebral haemorrhage in hemisphere, unspecified",IHI NOS
I61.3,Intracerebral haemorrhage in brain stem,IHI
I61.4,Intracerebral haemorrhage in cerebellum,IHI
I61.5,"Intracerebral haemorrhage, intraventricular",IHI
I61.6,"Intracerebral haemorrhage, multiple localized",IHM
I61.8,Other intracerebral haemorrhage,IH
I61.9,"Intracerebral haemorrhage, unspecified",IH NOS
I62,Other nontraumatic intracranial haemorrhage,NIH
I62.0,Subdural haemorrhage (acute)(nontraumatic),SH
I62.1,Nontraumatic extradural haemorrhage Nontraumatic epidural haemorrhage,NEH
I62.9,"Intracranial haemorrhage (nontraumatic), unspecified",IH NOS
I63,Cerebral infarction,CI
I63.0,Cerebral infarction due to thrombosis of precerebral arteries,CIT
I63.1,Cerebral infarction due to embolism of precerebral arteries,CIE
I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,CIO NOS
I63.3,Cerebral infarction due to thrombosis of cerebral arteries,CIT
I63.4,Cerebral infarction due to embolism of cerebral arteries,CIE
I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,CIO NOS
I63.6,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",CIC
I63.8,Other cerebral infarction,CI
I63.9,"Cerebral infarction, unspecified",CI NOS
I64,"Stroke, not specified as haemorrhage or infarction",CVA
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",OSP NOS
I65.0,Occlusion and stenosis of vertebral artery,OSV NOS
I65.1,Occlusion and stenosis of basilar artery,OSB NOS
I65.2,Occlusion and stenosis of carotid artery,OSC NOS
I65.3,Occlusion and stenosis of multiple and bilateral precerebral arteries,OSM NOS
I65.8,Occlusion and stenosis of other precerebral artery,OSP NOS
I65.9,Occlusion and stenosis of unspecified precerebral artery Precerebral artery NOS,OSP NOS
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",OSC NOS
I66.0,Occlusion and stenosis of middle cerebral artery,OSM NOS
I66.1,Occlusion and stenosis of anterior cerebral artery,OSA NOS
I66.2,Occlusion and stenosis of posterior cerebral artery,OSP NOS
I66.3,Occlusion and stenosis of cerebellar arteries,OSC NOS
I66.4,Occlusion and stenosis of multiple and bilateral cerebral arteries,OSM NOS
I66.8,Occlusion and stenosis of other cerebral artery Occlusion and stenosis of perforating arteries,OSC NOS
I66.9,Occlusion and stenosis of unspecified cerebral artery,OSC NOS
I67,Other cerebrovascular diseases,CD
I67.0,"Dissection of cerebral arteries, nonruptured",DCA
I67.1,"Cerebral aneurysm, nonruptured Cerebral: • aneurysm NOS • arteriovenous fistula, acquired",CAN NOS
I67.2,Cerebral atherosclerosis Atheroma of cerebral arteries,CAA
I67.3,Progressive vascular leukoencephalopathy Binswanger disease,PVL
I67.4,Hypertensive encephalopathy,HE
I67.5,Moyamoya disease,MD
I67.6,Nonpyogenic thrombosis of intracranial venous system Nonpyogenic thrombosis of: • cerebral vein • intracranial venous sinus,NTI
I67.7,"Cerebral arteritis, not elsewhere classified",CAN
I67.8,Other specified cerebrovascular diseases Acute cerebrovascular insufficiency NOS Cerebral ischaemia (chronic),CDA NOS
I67.9,"Cerebrovascular disease, unspecified",CD NOS
I68*,Cerebrovascular disorders in diseases classified elsewhere,CDI
I68.0*,Cerebral amyloid angiopathy (E85.-†),CAA
I68.1*,Cerebral arteritis in infectious and parasitic diseases classified elsewhere Cerebral arteritis: • listerial (A32.8†) • syphilitic (A52.0†) • tuberculous (A18.8†),CAI
I68.2*,Cerebral arteritis in other diseases classified elsewhere Cerebral arteritis in systemic lupus erythematosus (M32.1†),CAI
I68.8*,Other cerebrovascular disorders in diseases classified elsewhere Uraemic apoplexia in chronic kidney disease (N18.5†),CKD
I69,Sequelae of cerebrovascular disease,SCD
I69.0,Sequelae of subarachnoid haemorrhage,SSH
I69.1,Sequelae of intracerebral haemorrhage,SIH
I69.2,Sequelae of other nontraumatic intracranial haemorrhage,SNI
I69.3,Sequelae of cerebral infarction,SCI
I69.4,"Sequelae of stroke, not specified as haemorrhage or infarction",CVA
I69.8,Sequelae of other and unspecified cerebrovascular diseases,SCD NOS
I70,Atherosclerosis,ATHE
I70.0,Atherosclerosis of aorta,AA
I70.1,Atherosclerosis of renal artery Goldblatt kidney,ARA
I70.2,Atherosclerosis of arteries of extremities Atherosclerotic gangrene Mönckeberg (medial) sclerosis,AAE
I70.8,Atherosclerosis of other arteries,AA
I70.9,Generalized and unspecified atherosclerosis,GA NOS
I70–I79,"Diseases of arteries, arterioles and capillaries",DAA
I71,Aortic aneurysm and dissection,AAD
I71.0,Dissection of aorta [any part] Dissecting aneurysm of aorta (ruptured) [any part],DAD
I71.1,"Thoracic aortic aneurysm, ruptured",TAA
I71.2,"Thoracic aortic aneurysm, without mention of rupture",TAA
I71.3,"Abdominal aortic aneurysm, ruptured",AAA
I71.4,"Abdominal aortic aneurysm, without mention of rupture",AAA
I71.5,"Thoracoabdominal aortic aneurysm, ruptured",TAA
I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",TAA
I71.8,"Aortic aneurysm of unspecified site, ruptured Rupture of aorta NOS",AAS NOS
I71.9,"Aortic aneurysm of unspecified site, without mention of rupture Aneurysm Dilatation of aorta Hyaline necrosis",AAS NOS
I72,Other aneurysm and dissection,AD
I72.0,Aneurysm and dissection of carotid artery,ADC
I72.1,Aneurysm and dissection of artery of upper extremity,ADA
I72.2,Aneurysm and dissection of renal artery,ADR
I72.3,Aneurysm and dissection of iliac artery,ADI
I72.4,Aneurysm and dissection of artery of lower extremity,ADA
I72.5,Aneurysm and dissection of other precerebral arteries Aneurysm and dissection of basilar artery (trunk),ADP
I72.6,Aneurysm and dissection of vertebral artery,ADV
I72.8,Aneurysm and dissection of other specified arteries,ADA
I72.9,Aneurysm and dissection of unspecified site,ADS NOS
I73,Other peripheral vascular diseases,PVD
I73.0,Raynaud syndrome Raynaud: • disease • gangrene • phenomenon (secondary),RSR
I73.1,Thromboangiitis obliterans [Buerger],TO
I73.8,Other specified peripheral vascular diseases Acrocyanosis Acroparaesthesia: • simple [Schultze type] • vasomotor [Nothnagel type] Erythrocyanosis Erythromelalgia,PVD NOS
I73.9,"Peripheral vascular disease, unspecified Intermittent claudication Spasm of artery",PVD NOS
I74,Arterial embolism and thrombosis,AET
I74.0,Embolism and thrombosis of abdominal aorta Aortic bifurcation syndrome Leriche syndrome,ETA
I74.1,Embolism and thrombosis of other and unspecified parts of aorta,ETP NOS
I74.2,Embolism and thrombosis of arteries of upper extremities,ETA
I74.3,Embolism and thrombosis of arteries of lower extremities,ETA
I74.4,"Embolism and thrombosis of arteries of extremities, unspecified Peripheral arterial embolism",ETA NOS
I74.5,Embolism and thrombosis of iliac artery,ETI
I74.8,Embolism and thrombosis of other arteries,ETA
I74.9,Embolism and thrombosis of unspecified artery,ETA NOS
I77,Other disorders of arteries and arterioles,DAA
I77.0,"Arteriovenous fistula, acquired Aneurysmal varix Arteriovenous aneurysm, acquired",AFA
I77.1,Stricture of artery,SA
I77.2,Rupture of artery Fistula of artery,RAF
I77.3,Arterial fibromuscular dysplasia,AFD
I77.4,Coeliac artery compression syndrome,CAC
I77.5,Necrosis of artery,NA
I77.6,"Arteritis, unspecified Aortitis NOS Endarteritis NOS",AAN NOS
I77.8,Other specified disorders of arteries and arterioles Erosion of artery Ulcer,DAA
I77.9,"Disorder of arteries and arterioles, unspecified",DAA NOS
I78,Diseases of capillaries,DC
I78.0,Hereditary haemorrhagic telangiectasia Rendu–Osler–Weber disease,HHT
I78.1,"Naevus, non-neoplastic Naevus: • araneus • spider • stellar",NNN
I78.8,Other diseases of capillaries,DC
I78.9,"Disease of capillaries, unspecified",DC NOS
I79*,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere",DAA
I79.0*,Aneurysm of aorta in diseases classified elsewhere Syphilitic aneurysm of aorta (A52.0†),AAI
I79.1*,Aortitis in diseases classified elsewhere Syphilitic aortitis (A52.0†),AID
I79.2*,Peripheral angiopathy in diseases classified elsewhere Diabetic peripheral angiopathy (E10–E14 with common fourth character .5†),PAI
I79.8*,"Other disorders of arteries, arterioles and capillaries in diseases classified elsewhere",DAA
I80,Phlebitis and thrombophlebitis,PT
I80.0,Phlebitis and thrombophlebitis of superficial vessels of lower extremities,PTS
I80.1,Phlebitis and thrombophlebitis of femoral vein,PTF
I80.2,Phlebitis and thrombophlebitis of other deep vessels of lower extremities Deep vein thrombosis NOS,PTD NOS
I80.3,"Phlebitis and thrombophlebitis of lower extremities, unspecified Embolism or thrombosis of lower extremity NOS",PTL NOS
I80.8,Phlebitis and thrombophlebitis of other sites,PTS
I80.9,Phlebitis and thrombophlebitis of unspecified site,PTS NOS
I80–I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",DVL
I81,Portal vein thrombosis,PVT
I82,Other venous embolism and thrombosis,VET
I82.0,Budd–Chiari syndrome,BS
I82.1,Thrombophlebitis migrans,TM
I82.2,Embolism and thrombosis of vena cava,ETV
I82.3,Embolism and thrombosis of renal vein,ETR
I82.8,Embolism and thrombosis of other specified veins,ETV
I82.9,Embolism and thrombosis of unspecified vein Embolism of vein NOS Thrombosis (vein) NOS,ETV NOS
I83,Varicose veins of lower extremities,VVL
I83.0,"Varicose veins of lower extremities with ulcer Any condition in I83.9 with ulcer or specified as ulcerated Varicose ulcer (lower extremity, any part)",VVL
I83.1,Varicose veins of lower extremities with inflammation Any condition in I83.9 with inflammation or specified as inflamed Stasis dermatitis NOS,VVL NOS
I83.2,Varicose veins of lower extremities with both ulcer and inflammation Any condition in I83.9 with both ulcer and inflammation,VVL
I83.9,Varicose veins of lower extremities without ulcer or inflammation Phlebectasia of lower extremity [any part] or Varicose veins of unspecified site Varix,VVL NOS
I85,Oesophageal varices,OV
I85.0,Oesophageal varices with bleeding,OVB
I85.9,Oesophageal varices without bleeding Oesophageal varices NOS,OVW NOS
I86,Varicose veins of other sites,VVS
I86.0,Sublingual varices,SV
I86.1,Scrotal varices Varicocele,SVV
I86.2,Pelvic varices,PV
I86.3,Vulval varices,VV
I86.4,Gastric varices,GV
I86.8,Varicose veins of other specified sites Varicose ulcer of nasal septum,VVS
I87,Other disorders of veins,DV
I87.0,Post-thrombotic syndrome Postphlebitic syndrome,PSP
I87.1,Compression of vein Stricture of vein Vena cava syndrome (inferior)(superior),CVS
I87.2,Venous insufficiency (chronic)(peripheral),VI
I87.8,Other specified disorders of veins,DV
I87.9,"Disorder of vein, unspecified",DV NOS
I88,Nonspecific lymphadenitis,NL
I88.0,Nonspecific mesenteric lymphadenitis Mesenteric lymphadenitis (acute)(chronic),NML
I88.1,"Chronic lymphadenitis, except mesenteric Adenitis chronic, any lymph node except Lymphadenitis mesenteric",CLE
I88.8,Other nonspecific lymphadenitis,NL
I88.9,"Nonspecific lymphadenitis, unspecified Lymphadenitis NOS",NLL NOS
I89,Other noninfective disorders of lymphatic vessels and lymph nodes,NDL
I89.0,"Lymphoedema, not elsewhere classified Lymphangiectasis",LNE
I89.1,Lymphangitis Lymphangitis: • NOS • chronic • subacute,LL• NOS
I89.8,Other specified noninfective disorders of lymphatic vessels and lymph nodes Chylocele (nonfilarial) Lipomelanotic reticulosis,NDL
I89.9,"Noninfective disorder of lymphatic vessels and lymph nodes, unspecified Disease of lymphatic vessels NOS",NDL NOS
I95,Hypotension,HYPO
I95.0,Idiopathic hypotension,IH
I95.1,"Orthostatic hypotension Hypotension, postural",OHH
I95.2,Hypotension due to drugs,HD
I95.8,Other hypotension Chronic hypotension,HCH
I95.9,"Hypotension, unspecified",HYPO NOS
I95–I99,Other and unspecified disorders of the circulatory system Asterisk categories for this chapter are provided as follows:,DCS NOS
I97,"Postprocedural disorders of circulatory system, not elsewhere classified",PDC
I97.0,Postcardiotomy syndrome,PS
I97.1,Other functional disturbances following cardiac surgery Cardiac insufficiency following cardiac surgery or due to Heart failure presence of cardiac prosthesis,HF
I97.2,Postmastectomy lymphoedema syndrome Elephantiasis due to mastectomy Obliteration of lymphatic vessels,PLS
I97.8,"Other postprocedural disorders of circulatory system, not elsewhere classified",PDC
I97.9,"Postprocedural disorder of circulatory system, unspecified",PDC NOS
I98*,Other disorders of circulatory system in diseases classified elsewhere,DCS
I98.0*,"Cardiovascular syphilis Cardiovascular syphilis: • NOS (A52.0†) • congenital, late (A50.5†)",CSC NOS
I98.1*,"Cardiovascular disorders in other infectious and parasitic diseases classified elsewhere Cardiovascular: • involvement NEC, in Chagas disease (chronic) (B57.2†) • lesions of pinta [carate] (A67.2†)",CDI
I98.2*,"Oesophageal varices without bleeding in diseases classified elsewhere Oesophageal varices without bleeding in: • liver disorders (K70–K71†, K74.-†) • schistosomiasis (B65.-†)",OVW
I98.3*,"Oesophageal varices with bleeding in diseases classified elsewhere Oesophageal varices with bleeding in: • liver disorders (K70–K71†, K74.-†) • schistosomiasis (B65.-†)",OVB
I98.8*,Other specified disorders of circulatory system in diseases classified elsewhere,DCS
I99,Other and unspecified disorders of circulatory system,DCS NOS
J00,Acute nasopharyngitis [common cold],AN
J00–J06,Acute upper respiratory infections,AUR
J00–J22,influenza and other acute respiratory infections This chapter contains the following blocks:,IAR
J01,Acute sinusitis,AS
J01.0,Acute maxillary sinusitis Acute antritis,AMS
J01.1,Acute frontal sinusitis,AFS
J01.2,Acute ethmoidal sinusitis,AES
J01.3,Acute sphenoidal sinusitis,ASS
J01.4,Acute pansinusitis,AP
J01.8,Other acute sinusitis Acute sinusitis involving more than one sinus but not pansinusitis,ASA
J01.9,"Acute sinusitis, unspecified",AS NOS
J02,Acute pharyngitis,AP
J02.0,Streptococcal pharyngitis Streptococcal sore throat,SPS
J02.8,Acute pharyngitis due to other specified organisms,APO
J02.9,"Acute pharyngitis, unspecified Pharyngitis (acute): • NOS • gangrenous • infective NOS • suppurative • ulcerative Sore throat (acute) NOS",APP NOS
J03,Acute tonsillitis,AT
J03.0,Streptococcal tonsillitis,ST
J03.8,Acute tonsillitis due to other specified organisms,ATO
J03.9,"Acute tonsillitis, unspecified Tonsillitis (acute): • NOS • follicular • gangrenous • infective • ulcerative",ATT NOS
J04,Acute laryngitis and tracheitis,ALT
J04.0,Acute laryngitis Laryngitis (acute): • NOS • oedematous • subglottic • suppurative • ulcerative,ALL NOS
J04.1,Acute tracheitis Tracheitis (acute): • NOS • catarrhal,ATT NOS
J04.2,Acute laryngotracheitis Laryngotracheitis NOS Tracheitis (acute) with laryngitis (acute),ALL NOS
J05,Acute obstructive laryngitis [croup] and epiglottitis,AOL
J05.0,Acute obstructive laryngitis [croup] Obstructive laryngitis NOS,AOL NOS
J05.1,Acute epiglottitis Epiglottitis NOS,AEE NOS
J06,Acute upper respiratory infections of multiple and unspecified sites,AUR NOS
J06.0,Acute laryngopharyngitis,AL
J06.8,Other acute upper respiratory infections of multiple sites,AUR
J06.9,"Acute upper respiratory infection, unspecified Upper respiratory: • disease, acute • infection NOS Influenza and pneumonia (J09–J18)",AUR NOS
J09,Influenza due to identified zoonotic or pandemic influenza virus,IIZ
J09–J18,Influenza and pneumonia,IP
J10,influenza due to identified seasonal influenza virus,IIS
J10.0,"Influenza with pneumonia, seasonal influenza virus identified Influenzal (broncho)pneumonia, seasonal influenza virus identified",IPS
J10.1,"Influenza with other respiratory manifestations, seasonal influenza virus identified Influenza Influenzal: • acute upper respiratory infection seasonal influenza virus identified • laryngitis • pharyngitis • pleural effusion",IRM
J10.8,"Influenza with other manifestations, seasonal influenza virus identified Encephalopathy due to influenza Influenzal: seasonal influenza virus identified • gastroenteritis • myocarditis (acute)",IMS
J11,"Influenza, virus not identified",IVN
J11.0,"Influenza with pneumonia, virus not identified Influenzal (broncho)pneumonia, unspecified or specific virus not identified",IPV NOS
J11.1,"Influenza with other respiratory manifestations, virus not identified Influenza NOS Influenzal: • acute upper respiratory infection unspecified or specific virus not • laryngitis identified • pharyngitis • pleural effusion",IRM NOS
J11.8,"Influenza with other manifestations, virus not identified Encephalopathy due to influenza Influenzal: unspecified or specific virus not • gastroenteritis identified • myocarditis (acute)",IMV NOS
J12,"Viral pneumonia, not elsewhere classified",VPN
J12.0,Adenoviral pneumonia,AP
J12.1,Respiratory syncytial virus pneumonia,RSV
J12.2,Parainfluenza virus pneumonia,PVP
J12.3,Human metapneumovirus pneumonia,HMP
J12.8,Other viral pneumonia,VP
J12.9,"Viral pneumonia, unspecified",VP NOS
J13,Pneumonia due to Streptococcus pneumoniae,PSP
J14,Pneumonia due to Haemophilus influenzae,PHI
J15,"Bacterial pneumonia, not elsewhere classified",BPN
J15.0,Pneumonia due to Klebsiella pneumoniae,PKP
J15.1,Pneumonia due to Pseudomonas,PP
J15.2,Pneumonia due to Staphylococcus,PS
J15.3,"Pneumonia due to Staphylococcus, group B",PSG
J15.4,Pneumonia due to other Streptococci,PS
J15.5,Pneumonia due to Escherichia coli,PEC
J15.6,Pneumonia due to other aerobic Gram-negative bacteria Pneumonia (due to): • Gram-negative (aerobic) bacteria NOS • Serratia marcescens,PAG NOS
J15.7,Pneumonia due to Mycoplasma pneumoniae,PMP
J15.8,Other bacterial pneumonia,BP
J15.9,"Bacterial pneumonia, unspecified",BP NOS
J16,"Pneumonia due to other infectious organisms, not elsewhere classified",PIO
J16.0,Chlamydial pneumonia,CP
J16.8,Pneumonia due to other specified infectious organisms,PIO
J17*,Pneumonia in diseases classified elsewhere,PID
J17.0*,Pneumonia in bacterial diseases classified elsewhere Pneumonia (due to)(in): • actinomycosis (A42.0†) • anthrax (A22.1†) • gonorrhoea (A54.8†) • nocardiosis (A43.0†) • Salmonella infection (A02.2†) • tularaemia (A21.2†) • typhoid fever (A01.0†) • whooping cough (A37.-†),PIB
J17.1*,Pneumonia in viral diseases classified elsewhere Pneumonia in: • cytomegalovirus disease (B25.0†) • measles (B05.2†) • rubella (B06.8†) • varicella (B01.2†),PIV
J17.2*,Pneumonia in mycoses Pneumonia in: • aspergillosis (B44.0–B44.1†) • candidiasis (B37.1†) • coccidioidomycosis (B38.0–B38.2†) • histoplasmosis (B39.-†),PIM
J17.3*,Pneumonia in parasitic diseases Pneumonia in: • ascariasis (B77.8†) • schistosomiasis (B65.-†) • toxoplasmosis (B58.3†),PIP
J17.8*,"Pneumonia in other diseases classified elsewhere Pneumonia (in): • ornithosis (A70†) • Q fever (A78†) • rheumatic fever (I00†) • spirochaetal, not elsewhere classified (A69.8†)",PID
J18,"Pneumonia, organism unspecified",PO NOS
J18.0,"Bronchopneumonia, unspecified",BRON NOS
J18.1,"Lobar pneumonia, unspecified",LP NOS
J18.2,"Hypostatic pneumonia, unspecified",HP NOS
J18.8,"Other pneumonia, organism unspecified",PO NOS
J18.9,"Pneumonia, unspecified",PNEU NOS
J20,Acute bronchitis,AB
J20.0,Acute bronchitis due to Mycoplasma pneumoniae,ABM
J20.1,Acute bronchitis due to Haemophilus influenzae,ABH
J20.2,Acute bronchitis due to Streptococcus,ABS
J20.3,Acute bronchitis due to coxsackievirus,ABC
J20.4,Acute bronchitis due to parainfluenza virus,ABP
J20.5,Acute bronchitis due to respiratory syncytial virus,ABR
J20.6,Acute bronchitis due to rhinovirus,ABR
J20.7,Acute bronchitis due to echovirus,ABE
J20.8,Acute bronchitis due to other specified organisms,ABO
J20.9,"Acute bronchitis, unspecified",AB NOS
J20–J22,Other acute lower respiratory infections,ALR
J21,Acute bronchiolitis,AB
J21.0,Acute bronchiolitis due to respiratory syncytial virus,ABR
J21.1,Acute bronchiolitis due to human metapneumovirus,ABH
J21.8,Acute bronchiolitis due to other specified organisms,ABO
J21.9,"Acute bronchiolitis, unspecified Bronchiolitis (acute)",ABB NOS
J22,Unspecified acute lower respiratory infection,ALR NOS
J30,Vasomotor and allergic rhinitis,VAR
J30.0,Vasomotor rhinitis,VR
J30.1,Allergic rhinitis due to pollen Allergy NOS due to pollen Hay fever Pollinosis,ARP NOS
J30.2,Other seasonal allergic rhinitis,SAR
J30.3,Other allergic rhinitis Perennial allergic rhinitis,ARP
J30.4,"Allergic rhinitis, unspecified",AR NOS
J30–J39,Other diseases of upper respiratory tract,DUR
J31,"Chronic rhinitis, nasopharyngitis and pharyngitis",CRN
J31.0,Chronic rhinitis Ozena Rhinitis (chronic): • NOS • atrophic • granulomatous • hypertrophic • obstructive • purulent • ulcerative,CRO NOS
J31.1,Chronic nasopharyngitis,CN
J31.2,Chronic pharyngitis Chronic sore throat Pharyngitis (chronic): • atrophic • granular • hypertrophic,CPC
J32,Chronic sinusitis,CS
J32.0,Chronic maxillary sinusitis Antritis (chronic) Maxillary sinusitis NOS,CMS NOS
J32.1,Chronic frontal sinusitis Frontal sinusitis NOS,CFS NOS
J32.2,Chronic ethmoidal sinusitis Ethmoidal sinusitis NOS,CES NOS
J32.3,Chronic sphenoidal sinusitis Sphenoidal sinusitis NOS,CSS NOS
J32.4,Chronic pansinusitis Pansinusitis NOS,CPP NOS
J32.8,Other chronic sinusitis Sinusitis (chronic) involving more than one sinus but not pansinusitis,CSS
J32.9,"Chronic sinusitis, unspecified Sinusitis (chronic) NOS",CSS NOS
J33,Nasal polyp,NP
J33.0,Polyp of nasal cavity Polyp: • choanal • nasopharyngeal,PNC
J33.1,Polypoid sinus degeneration Woakes’ syndrome or ethmoiditis,PSD
J33.8,Other polyp of sinus Polyp of sinus: • accessory • ethmoidal • maxillary • sphenoidal,PSP
J33.9,"Nasal polyp, unspecified",NP NOS
J34,Other disorders of nose and nasal sinuses,DNN NOS
J34.0,"Abscess, furuncle and carbuncle of nose Cellulitis Necrosis of nose (septum) Ulceration",AFC NOS
J34.1,Cyst and mucocele of nose and nasal sinus,CMN NOS
J34.2,Deviated nasal septum Deflection or deviation of septum (nasal)(acquired),DNS
J34.3,Hypertrophy of nasal turbinates,HNT
J34.8,Other specified disorders of nose and nasal sinuses Perforation of nasal septum NOS Rhinolith,DNN NOS
J35,Chronic diseases of tonsils and adenoids,CDT
J35.0,Chronic tonsillitis,CT
J35.1,Hypertrophy of tonsils Enlargement of tonsils,HTE
J35.2,Hypertrophy of adenoids Enlargement of adenoids,HAE
J35.3,Hypertrophy of tonsils with hypertrophy of adenoids,HTH
J35.8,Other chronic diseases of tonsils and adenoids Adenoid vegetations Amygdalolith Cicatrix of tonsil (and adenoid) Tonsillar tag Ulcer of tonsil,CDT
J35.9,"Chronic disease of tonsils and adenoids, unspecified Disease (chronic) of tonsils and adenoids NOS",CDT NOS
J36,Peritonsillar abscess,PA
J37,Chronic laryngitis and laryngotracheitis,CLL
J37.0,Chronic laryngitis Laryngitis: • catarrhal • hypertrophic • sicca,CLL
J37.1,"Chronic laryngotracheitis Laryngitis, chronic, with tracheitis (chronic) Tracheitis, chronic, with laryngitis",CLL
J38,"Diseases of vocal cords and larynx, not elsewhere classified",DVC
J38.0,Paralysis of vocal cords and larynx Laryngoplegia Paralysis of glottis,PVC
J38.1,Polyp of vocal cord and larynx,PVC
J38.2,Nodules of vocal cords Chorditis (fibrinous)(nodosa)(tuberosa) Singer’s nodes Teacher’s nodes,NVC
J38.3,Other diseases of vocal cords Abscess Cellulitis Granuloma of vocal cord(s) Leukokeratosis Leukoplakia,DVC
J38.4,Oedema of larynx Oedema (of): • glottis • subglottic • supraglottic,OLO
